shot_angle,shot_distance,keeper_angle,keeper_scope,keeper_scope_angle,keeper_distance,is_penalty,is_freekick,is_openplay,nearest_player_distance,blocking_players_count,blocking_player_mean_distance,teammates_count,keep_angle_by_shot_angle,scope_angle_by_shot_angle,body_part,season,is_goal
22.83,19.42,12.53,2.766,16.68,18.44,False,False,True,1.0,4,7.5475,0,0.5488392466053439,0.7306176084099869,Left Foot,2012/2013,False
19.42,23.19,8.8,3.1815,16.9,21.21,False,False,True,2.0,3,8.623333333333333,1,0.45314109165808447,0.8702368692070029,Left Foot,2012/2013,False
14.65,13.0,5.44,0.336,7.83,2.24,False,False,True,-1,0,-1,0,0.37133105802047783,0.5344709897610922,Right Foot,2012/2013,False
77.32,5.0,38.66,0.6,17.06,4.0,False,False,True,1.0,3,2.3333333333333335,0,0.5,0.22064148991205382,Head,2012/2013,False
36.03,12.17,23.5,0.618,16.57,4.12,False,False,True,-1,0,-1,0,0.6522342492367471,0.45989453233416594,Left Foot,2012/2013,False
53.13,7.21,9.46,0.9119999999999999,16.84,6.08,False,False,True,1.0,2,4.404999999999999,0,0.17805383022774326,0.31695840391492563,Head,2012/2013,False
65.77,5.83,9.46,1.0605,12.24,7.07,False,False,True,5.1,1,5.1,0,0.14383457503421015,0.18610308651360805,Head,2012/2013,False
85.24,4.24,103.67,1.8059999999999998,1.46,12.04,False,False,True,2.83,1,2.83,0,1.216213045518536,0.01712810886907555,Left Foot,2012/2013,True
15.42,16.64,0.0,2.0174999999999996,11.6,13.45,False,False,True,-1,0,-1,0,0.0,0.7522697795071336,Right Foot,2012/2013,False
13.78,32.56,5.26,4.296,16.71,28.64,False,False,True,7.0,1,7.0,0,0.38171262699564584,1.2126269956458637,Right Foot,2012/2013,False
21.75,19.92,14.55,2.5635,16.03,17.09,False,False,True,-1,0,-1,0,0.6689655172413793,0.7370114942528736,Right Foot,2012/2013,False
36.87,12.0,18.43,1.7999999999999998,17.06,12.0,True,False,False,-1,0,-1,0,0.4998643883916464,0.46270680770273936,Right Foot,2012/2013,True
19.25,22.8,8.84,3.093,16.58,20.62,False,False,True,5.0,2,6.77,0,0.4592207792207792,0.8612987012987012,Right Foot,2012/2013,False
8.91,19.31,45.0,0.474,5.54,3.16,False,False,True,-1,0,-1,0,5.05050505050505,0.621773288439955,Right Foot,2012/2013,False
20.39,20.62,10.49,2.7569999999999997,15.84,18.38,False,False,True,2.24,1,2.24,0,0.5144678764100049,0.7768513977439921,Right Foot,2012/2013,False
15.1,26.42,4.0,3.9119999999999995,14.52,26.08,False,False,True,12.08,1,12.08,1,0.26490066225165565,0.9615894039735099,Left Foot,2012/2013,False
6.28,15.3,1.44,1.5659999999999998,5.04,10.44,False,False,True,-1,0,-1,0,0.22929936305732482,0.8025477707006369,Right Foot,2012/2013,False
21.97,19.31,10.19,2.2304999999999997,16.12,14.87,False,False,True,1.41,6,13.848333333333334,3,0.4638142922166591,0.7337278106508877,Left Foot,2012/2013,False
22.57,20.02,8.53,2.85,17.06,19.0,False,False,True,13.0,2,13.57,1,0.3779353123615418,0.7558706247230836,Left Foot,2012/2013,False
52.56,8.06,20.56,0.44999999999999996,17.06,3.0,False,False,True,-1,0,-1,0,0.3911719939117199,0.32458143074581425,Left Foot,2012/2013,True
17.91,17.69,12.51,2.2304999999999997,12.8,14.87,False,False,True,-1,0,-1,0,0.6984924623115578,0.7146845337800112,Left Foot,2012/2013,False
20.25,22.2,5.12,2.766,16.68,18.44,False,False,True,-1,0,-1,0,0.2528395061728395,0.8237037037037037,Left Foot,2011/2012,False
16.14,23.85,5.98,3.453,14.21,23.02,False,False,True,7.62,3,10.910000000000002,0,0.3705080545229244,0.8804213135068154,Right Foot,2011/2012,False
14.41,21.26,0.0,2.766,13.12,18.44,False,False,True,5.83,1,5.83,0,0.0,0.9104788341429563,Left Foot,2011/2012,False
44.22,9.49,11.31,1.341,15.34,8.94,False,False,True,1.0,1,1.0,0,0.25576662143826323,0.34690185436454096,Head,2011/2012,False
39.7,11.05,15.26,1.65,17.06,11.0,False,False,True,1.0,4,5.7225,0,0.3843828715365239,0.4297229219143576,Left Foot,2011/2012,False
19.46,16.28,10.49,2.121,12.24,14.14,False,False,True,-1,0,-1,0,0.5390544707091469,0.6289825282631037,Left Foot,2011/2012,False
13.24,27.02,6.9,3.8415,13.48,25.61,False,True,False,9.43,4,10.342500000000001,0,0.5211480362537765,1.0181268882175227,Left Foot,2011/2012,False
18.06,20.81,2.7,2.8859999999999997,15.18,19.24,False,False,True,4.47,2,6.045,0,0.14950166112956811,0.8405315614617941,Left Foot,2011/2012,False
